Absenteeism Time in Hours,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Reason_1,Reason_2,Reason_3,Reason_4,Day,Month
4,289,36,33,239.554,30,1,2,1,0,0,0,1,7,7
0,118,13,50,239.554,31,1,1,0,0,0,0,0,14,7
2,179,51,38,239.554,31,1,0,0,0,0,0,1,15,7
4,279,5,39,239.554,24,1,2,0,1,0,0,0,16,7
2,289,36,33,239.554,30,1,2,1,0,0,0,1,23,7
2,179,51,38,239.554,31,1,0,0,0,0,0,1,10,7
8,361,52,28,239.554,27,1,1,4,0,0,0,1,17,7
4,260,50,36,239.554,23,1,4,0,0,0,0,1,24,7
40,155,12,34,239.554,25,1,2,0,0,0,1,0,6,7
8,235,11,37,239.554,29,3,1,1,0,0,0,1,13,7
8,260,50,36,239.554,23,1,4,0,1,0,0,0,20,7
8,260,50,36,239.554,23,1,4,0,1,0,0,0,14,7
8,260,50,36,239.554,23,1,4,0,1,0,0,0,15,7
1,179,51,38,239.554,31,1,0,0,1,0,0,0,15,7
4,179,51,38,239.554,31,1,0,0,0,0,0,1,15,7
8,246,25,41,239.554,23,1,0,0,1,0,0,0,17,7
2,179,51,38,239.554,31,1,0,0,0,0,0,1,17,7
8,179,51,38,239.554,31,1,0,0,0,0,1,0,27,7
8,189,29,33,239.554,25,1,2,2,1,0,0,0,30,7
2,248,25,47,205.917,32,1,2,1,0,0,0,1,5,8
8,330,16,28,205.917,25,2,0,0,1,0,0,0,12,8
1,179,51,38,205.917,31,1,0,0,1,0,0,0,3,8
40,361,52,28,205.917,27,1,1,4,1,0,0,0,10,8
4,260,50,36,205.917,23,1,4,0,0,0,0,1,14,8
8,289,36,33,205.917,30,1,2,1,0,0,1,0,17,8
7,361,52,28,205.917,27,1,1,4,0,0,0,1,24,8
1,289,36,33,205.917,30,1,2,1,0,0,0,1,4,8
4,157,27,29,205.917,22,1,0,0,0,0,0,1,12,8
8,289,36,33,205.917,30,1,2,1,0,0,1,0,19,8
2,179,51,38,205.917,31,1,0,0,0,0,0,1,28,8
8,179,51,38,205.917,31,1,0,0,0,0,1,0,17,8
8,235,29,48,205.917,33,1,1,5,0,0,1,0,27,8
4,235,11,37,205.917,29,3,1,1,0,0,0,1,27,8
8,235,29,48,205.917,33,1,1,5,0,0,1,0,17,8
2,179,51,38,205.917,31,1,0,0,0,0,0,1,17,8
1,361,52,28,205.917,27,1,1,4,0,0,0,1,17,8
8,289,36,33,205.917,30,1,2,1,0,0,0,1,4,8
4,291,50,32,205.917,23,1,0,0,1,0,0,0,20,8
8,235,29,48,205.917,33,1,1,5,0,0,0,1,21,8
4,260,50,36,205.917,23,1,4,0,0,0,0,1,28,8
2,184,42,27,241.476,21,1,0,0,0,0,0,1,1,9
4,118,10,37,241.476,28,1,0,0,0,0,0,1,7,9
4,179,51,38,241.476,31,1,0,0,0,0,0,1,1,9
8,235,20,43,241.476,38,1,1,0,0,0,1,0,8,9
2,155,12,34,241.476,25,1,2,0,0,0,0,1,9,9
3,118,10,37,241.476,28,1,0,0,0,0,0,1,13,9
3,179,51,38,241.476,31,1,0,0,0,0,0,1,14,9
4,291,31,40,241.476,25,1,1,1,0,0,0,1,24,9
8,260,50,36,241.476,23,1,4,0,0,0,0,1,4,9
32,291,31,40,241.476,25,1,1,1,1,0,0,0,14,9
0,260,50,36,241.476,23,1,4,0,0,0,0,0,21,9
0,225,26,28,241.476,24,1,1,2,0,0,0,0,28,9
2,225,26,28,241.476,24,1,1,2,0,0,0,1,8,9
2,118,10,37,241.476,28,1,0,0,0,0,0,1,15,9
0,289,36,33,241.476,30,1,2,1,0,0,0,0,22,9
0,118,13,50,241.476,31,1,1,0,0,0,0,0,29,9
3,225,26,28,241.476,24,1,1,2,0,0,1,0,16,9
3,179,51,38,241.476,31,1,0,0,0,0,0,1,23,9
0,369,17,31,241.476,25,1,3,0,0,0,0,0,30,9
1,248,25,47,241.476,32,1,2,1,0,0,0,1,11,9
3,179,51,38,241.476,31,1,0,0,0,0,0,1,18,9
4,260,50,36,241.476,23,1,4,0,0,0,0,1,25,9
3,179,51,38,253.465,31,1,0,0,0,0,0,1,6,10
3,118,10,37,253.465,28,1,0,0,0,0,0,1,13,10
0,118,13,50,253.465,31,1,1,0,0,0,0,0,14,10
1,179,26,30,253.465,19,3,0,0,0,0,0,1,15,10
3,179,51,38,253.465,31,1,0,0,0,0,0,1,16,10
3,225,26,28,253.465,24,1,1,2,0,0,0,1,16,10
3,118,10,37,253.465,28,1,0,0,0,0,0,1,6,10
2,225,26,28,253.465,24,1,1,2,0,0,0,1,14,10
2,248,25,47,253.465,32,1,2,1,0,0,0,1,21,10
5,291,31,40,253.465,25,1,1,1,0,0,0,1,22,10
8,179,51,38,253.465,31,1,0,0,0,0,0,1,21,10
3,225,26,28,253.465,24,1,1,2,0,0,0,1,21,10
16,260,50,36,253.465,23,1,4,0,0,0,1,0,22,10
8,291,31,40,253.465,25,1,1,1,1,0,0,0,13,10
2,225,26,28,253.465,24,1,1,2,0,0,0,1,20,10
8,289,36,33,253.465,30,1,2,1,0,0,0,1,21,10
1,361,52,28,253.465,27,1,1,4,0,0,0,1,23,10
3,260,50,36,253.465,23,1,4,0,0,0,0,1,30,10
1,179,51,38,306.345,31,1,0,0,0,0,0,1,5,11
1,225,26,28,306.345,24,1,1,2,0,0,0,1,4,11
8,179,51,38,306.345,31,1,0,0,1,0,0,0,5,11
8,179,22,40,306.345,22,2,2,0,0,0,1,0,12,11
5,291,31,40,306.345,25,1,1,1,0,0,0,1,19,11
32,155,12,34,306.345,25,1,2,0,1,0,0,0,2,11
8,189,29,33,306.345,25,1,2,2,0,0,0,1,9,11
40,291,31,40,306.345,25,1,1,1,1,0,0,0,16,11
1,225,26,28,306.345,24,1,1,2,0,0,0,1,18,11
8,155,12,34,306.345,25,1,2,0,1,0,0,0,20,11
3,225,26,28,306.345,24,1,1,2,0,0,0,1,18,11
8,179,22,40,306.345,22,2,2,0,0,0,1,0,25,11
3,225,26,28,306.345,24,1,1,2,1,0,0,0,20,11
4,260,50,36,306.345,23,1,4,0,0,0,0,1,27,11
1,248,25,47,306.345,32,1,2,1,0,0,0,1,2,11
3,225,26,28,306.345,24,1,1,2,0,0,0,1,10,11
24,289,36,33,306.345,30,1,2,1,1,0,0,0,11,11
3,291,31,40,306.345,25,1,1,1,0,0,0,1,26,11
1,248,25,47,261.306,32,1,2,1,0,0,0,1,1,12
64,118,10,37,261.306,28,1,0,0,0,0,1,0,1,12
2,118,13,50,261.306,31,1,1,0,0,0,0,1,2,12
8,235,11,37,261.306,29,3,1,1,0,0,0,1,2,12
2,225,26,28,261.306,24,1,1,2,0,0,0,1,3,12
8,260,50,36,261.306,23,1,4,0,0,0,0,1,4,12
56,118,10,37,261.306,28,1,0,0,0,0,1,0,8,12
8,361,52,28,261.306,27,1,1,4,0,0,0,1,9,12
3,225,26,28,261.306,24,1,1,2,0,0,0,1,10,12
3,260,50,36,261.306,23,1,4,0,0,0,0,1,11,12
2,225,26,28,261.306,24,1,1,2,0,0,0,1,15,12
8,361,52,28,261.306,27,1,1,4,0,0,0,1,16,12
2,118,10,37,261.306,28,1,0,0,0,0,0,1,11,12
8,246,25,41,261.306,23,1,0,0,0,0,1,0,18,12
2,225,26,28,261.306,24,1,1,2,0,0,0,1,18,12
1,225,26,28,308.593,24,1,1,2,0,0,0,1,6,1
1,118,10,37,308.593,28,1,0,0,0,0,1,0,4,1
1,118,10,37,308.593,28,1,0,0,0,0,0,1,5,1
8,155,12,34,308.593,25,1,2,0,0,0,1,0,5,1
2,225,26,28,308.593,24,1,1,2,0,0,0,1,6,1
2,184,42,27,308.593,21,1,0,0,0,0,0,1,7,1
2,225,26,28,308.593,24,1,1,2,0,0,0,1,7,1
1,225,26,28,308.593,24,1,1,2,0,0,0,1,8,1
