PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Cabin_Codes,Title,Total_Members,Age_Group,Fare_Group,Age_Class,fare_per_person,Alone
1,0,3,0,1,0,0,0,0,1,2,0,66,3,0
2,1,1,1,1,0,1,1,2,1,5,3,38,35,0
3,1,3,1,0,0,0,0,1,0,3,0,78,7,1
4,1,1,1,1,0,0,1,2,1,5,3,35,26,0
5,0,3,0,0,0,0,0,0,0,5,1,105,8,1
6,0,3,0,0,0,2,0,0,0,4,1,96,8,1
7,0,1,0,0,0,0,2,0,0,6,3,54,51,1
8,0,3,0,3,1,0,0,3,4,0,2,6,4,0
9,1,3,1,0,2,0,0,2,2,3,1,81,3,0
10,1,2,1,1,0,1,0,2,1,1,2,28,15,0
11,1,3,1,1,1,0,3,1,2,0,2,12,5,0
12,1,1,1,0,0,0,1,1,0,6,2,58,26,1
13,0,3,0,0,0,0,0,0,0,1,1,60,8,1
14,0,3,0,1,5,0,0,0,6,5,2,117,4,0
15,0,3,1,0,0,0,0,1,0,1,0,42,7,1
16,1,2,1,0,0,0,0,2,0,6,2,110,16,1
17,0,3,0,4,1,2,0,3,5,0,2,6,4,0
18,1,2,0,0,0,0,0,0,0,4,1,64,13,1
19,0,3,1,1,0,0,0,2,1,4,2,93,9,0
20,1,3,1,0,0,1,0,2,0,5,0,114,7,1
21,0,2,0,0,0,0,0,0,0,5,2,70,26,1
22,1,2,0,0,0,0,4,0,0,5,1,68,13,1
23,1,3,1,0,0,2,0,1,0,1,1,45,8,1
24,1,1,0,0,0,0,5,0,0,3,3,28,35,1
25,0,3,1,3,1,0,0,1,4,0,2,24,4,0
26,1,3,1,1,5,0,0,2,6,5,2,114,4,0
27,0,3,0,0,0,1,0,0,0,4,0,96,7,1
28,0,1,0,3,2,0,1,0,5,1,3,19,43,0
29,1,3,1,0,0,2,0,1,0,2,0,63,7,1
30,0,3,0,0,0,0,0,0,0,4,0,96,7,1
31,0,1,0,0,0,1,0,4,0,5,2,40,27,1
32,1,1,1,1,0,1,6,2,1,5,3,38,73,0
33,1,3,1,0,0,2,0,1,0,2,0,63,7,1
34,0,2,0,0,0,0,0,0,0,6,1,132,10,1
35,0,1,0,1,0,1,0,0,1,3,3,28,41,0
36,0,1,0,1,0,0,0,0,1,6,3,42,26,0
37,1,3,0,0,0,1,0,0,0,4,0,96,7,1
38,0,3,0,0,0,0,0,0,0,2,1,63,8,1
39,0,3,1,2,0,0,0,1,2,1,2,54,6,0
40,1,3,1,1,0,1,0,1,1,1,1,42,5,0
41,0,3,1,1,0,0,0,2,1,5,1,120,4,0
42,0,2,1,1,0,0,0,2,1,3,2,54,10,0
43,0,3,0,0,0,1,0,0,0,4,0,96,7,1
44,1,2,1,1,2,1,0,1,3,0,3,6,10,0
45,1,3,1,0,0,2,0,1,0,1,0,57,7,1
46,0,3,0,0,0,0,0,0,0,4,1,96,8,1
47,0,3,0,1,0,2,0,0,1,4,2,96,7,0
48,1,3,1,0,0,2,0,1,0,2,0,63,7,1
49,0,3,0,2,0,1,0,0,2,4,2,96,7,0
