PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin_Provided,Title,Age_Group,Fare_Group,Total_Members,Age_Class,fare_per_person,Alone
1,0,3,1,22.0,1,0,0.9164539485499251,1,0,1,5,1,1,66.0,0.0,0
2,1,1,2,38.0,1,0,1.8590379714909278,2,1,3,7,4,1,38.0,0.0,0
3,1,3,2,26.0,0,0,0.9506082247842308,1,0,2,6,1,0,78.0,0.9506082247842308,1
4,1,1,2,35.0,1,0,1.7331972651065695,1,1,3,7,4,1,35.0,0.0,0
5,0,3,1,35.0,0,0,0.9566485792052033,1,0,1,7,1,0,105.0,0.9566485792052033,1
7,0,1,1,54.0,0,0,1.7231476981549567,1,1,1,8,4,0,54.0,1.7231476981549567,1
8,0,3,1,2.0,3,1,1.3439007122496063,1,0,4,2,3,4,6.0,0.0,0
9,1,3,2,27.0,0,2,1.083978935811046,1,0,3,6,2,2,81.0,0.0,0
10,1,2,2,14.0,1,0,1.492352435460081,2,0,3,4,3,1,28.0,0.0,0
11,1,3,2,4.0,1,1,1.2479732663618066,1,1,2,2,3,2,12.0,0.0,0
12,1,1,2,58.0,0,0,1.440121603187804,1,1,2,8,3,0,58.0,1.440121603187804,1
13,0,3,1,20.0,0,0,0.9566485792052033,1,0,1,5,1,0,60.0,0.9566485792052033,1
14,0,3,1,39.0,1,5,1.5088662509384578,1,0,1,7,3,6,117.0,0.0,0
15,0,3,2,14.0,0,0,0.9471493276626374,1,0,2,4,1,0,42.0,0.9471493276626374,1
16,1,2,2,55.0,0,0,1.2304489213782739,1,0,3,8,3,0,110.0,1.2304489213782739,1
17,0,3,1,2.0,4,1,1.4789270555829248,3,0,4,2,3,5,6.0,0.0,0
19,0,3,2,31.0,1,0,1.2787536009528289,1,0,3,6,3,1,93.0,0.0,0
21,0,2,1,35.0,0,0,1.4313637641589874,1,0,1,7,3,0,70.0,1.4313637641589874,1
22,1,2,1,34.0,0,0,1.146128035678238,1,1,1,6,2,0,68.0,1.146128035678238,1
23,1,3,2,15.0,0,0,0.9556492729074468,3,0,2,4,1,0,45.0,0.9556492729074468,1
24,1,1,1,28.0,0,0,1.5622928644564746,1,1,1,6,4,0,28.0,1.5622928644564746,1
25,0,3,2,8.0,3,1,1.3439007122496063,1,0,2,3,3,4,24.0,0.0,0
26,1,3,2,38.0,1,5,1.5103774259938814,1,0,3,7,3,6,114.0,0.0,0
28,0,1,1,19.0,3,2,2.4216039268698313,1,1,1,5,4,5,19.0,0.0,0
31,0,1,1,40.0,0,0,1.458196532741108,2,0,5,7,3,0,40.0,1.458196532741108,1
35,0,1,1,28.0,1,0,1.9199708788780554,2,0,1,6,4,1,28.0,0.0,0
36,0,1,1,42.0,1,0,1.724275869600789,1,0,1,7,4,1,42.0,0.0,0
38,0,3,1,21.0,0,0,0.9566485792052033,1,0,1,5,1,0,63.0,0.9566485792052033,1
39,0,3,2,18.0,2,0,1.2787536009528289,1,0,2,4,3,2,54.0,0.0,0
40,1,3,2,14.0,1,0,1.0878417322991751,2,0,2,4,2,1,42.0,0.0,0
41,0,3,2,40.0,1,0,1.0201540316383328,1,0,3,7,2,1,120.0,0.0,0
42,0,2,2,27.0,1,0,1.3424226808222062,1,0,3,6,3,1,54.0,0.0,0
44,1,2,2,3.0,1,2,1.6291974974299364,2,0,2,2,4,3,6.0,0.0,0
45,1,3,2,19.0,0,0,0.9483738383870792,3,0,2,5,1,0,57.0,0.9483738383870792,1
50,0,3,2,18.0,1,0,1.2741578492636798,1,0,3,4,3,1,54.0,0.0,0
51,0,3,1,7.0,4,1,1.6094610059122672,1,0,4,3,4,5,21.0,0.0,0
52,0,3,1,21.0,0,0,0.9444826721501687,1,0,1,5,1,0,63.0,0.9444826721501687,1
53,1,1,2,49.0,1,0,1.8905841979078102,2,1,3,8,4,1,49.0,0.0,0
54,1,2,2,29.0,1,0,1.4313637641589874,1,0,3,6,3,1,58.0,0.0,0
55,0,1,1,65.0,0,1,1.7991971396636215,2,1,1,9,4,1,65.0,0.0,0
57,1,2,2,21.0,0,0,1.0606978403536116,1,0,2,5,2,0,42.0,1.0606978403536116,1
58,0,3,1,28.5,0,0,0.9153576174148317,2,0,1,6,1,0,85.5,0.9153576174148317,1
59,1,2,2,5.0,1,2,1.4586378490256493,1,0,2,3,3,3,10.0,0.0,0
60,0,3,1,11.0,5,2,1.6803355134145632,1,0,4,3,4,7,33.0,0.0,0
61,0,3,1,22.0,0,0,0.9153576174148317,2,0,1,5,1,0,66.0,0.9153576174148317,1
62,1,1,2,38.0,0,0,1.9084850188786497,2,1,2,7,4,0,38.0,1.9084850188786497,1
63,0,1,1,45.0,1,0,1.926728200446934,1,1,1,8,4,1,45.0,0.0,0
64,0,3,1,4.0,3,2,1.4608978427565478,1,0,4,2,3,5,12.0,0.0,0
67,1,2,2,29.0,0,0,1.0606978403536116,1,1,3,6,2,0,58.0,1.0606978403536116,1
68,0,3,1,19.0,0,0,0.9618148656833371,1,0,1,5,2,0,57.0,0.9618148656833371,1
69,1,3,2,17.0,4,2,0.9506082247842308,1,0,2,4,1,6,51.0,0.0,0
70,0,3,1,26.0,2,0,0.9850895069263813,1,0,1,6,2,2,78.0,0.0,0
71,0,2,1,32.0,0,0,1.0606978403536116,1,0,1,6,2,0,64.0,1.0606978403536116,1
72,0,3,2,16.0,5,2,1.6803355134145632,1,0,2,4,4,7,48.0,0.0,0
