POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,RESALE,LONGITUDE,LATITUDE,Rare_House,City_Type,CITY,CITY_IN,TARGET(PRICE_IN_LACS)
1,0,0,2,1,1300.236407,1,2.562632059214069,4.351541138183826,0,0,4,60,4.007333185232471
0,0,0,2,1,1275.0,1,2.507527035497735,4.339179217974417,0,2,42,60,3.9318256327243257
1,0,0,2,1,933.1597222,1,2.547727524740598,4.351982173644197,0,0,4,60,3.7612001156935615
1,0,1,2,1,929.9211427,1,3.354884646130559,4.3482694691257455,0,0,17,60,4.135166556742356
1,0,0,3,1,1250.0,1,2.3059075674579743,4.334444484936118,0,1,28,60,3.7376696182833684
0,0,0,3,1,1495.053957,1,3.292733797203143,4.3280402434701015,0,3,24,60,4.197201947661808
1,0,1,3,1,1181.012946,1,3.4255647381104497,4.339249605317823,0,1,37,60,3.951243718581428
0,0,1,2,1,1040.0,1,2.56911007427746,4.352520606789747,0,0,4,60,3.7281001672672174
1,0,1,2,1,879.1208791000001,1,2.561220104742243,4.3837872089530645,0,0,9,60,3.58351893845611
1,0,0,3,1,1350.308642,1,3.285570232910659,4.481038556840746,0,2,42,60,3.5553480614894135
0,0,0,2,1,1333.010179,1,2.5680476297782278,4.351455913239765,0,0,4,60,4.700480365792417
1,0,0,2,1,927.1779023,1,2.562632059214069,4.351541138183826,0,0,4,60,3.871201010907892
1,0,1,2,1,1122.1719460000004,1,3.352976940169934,4.349027128618898,0,0,41,60,4.127134385045092
1,0,0,1,1,649.9837504,1,2.5676533905742405,4.351273569584266,0,2,42,60,2.9957322735539917
0,1,1,3,1,1394.117647,1,3.347431348363562,4.350041921413191,0,0,41,60,4.264087336809195
1,0,0,3,1,1800.08471,1,3.0094017688420176,4.45274609641232,0,1,7,60,4.442651256490317
0,1,1,3,1,2124.896706,1,2.556102648163238,4.351100823501241,0,0,4,60,5.1929568508902095
1,0,0,2,1,1100.0,1,3.0518238129301594,4.370498692546197,0,2,42,60,3.0910424533583165
0,0,1,3,1,2178.649237,1,2.5720285484476633,4.351740968830982,0,0,4,60,4.787491742782046
1,0,0,2,1,881.1435285,1,2.5687881337687024,4.383400690227027,0,0,9,60,3.80666248977032
0,0,0,2,1,944.8818898,1,2.915208696114452,4.303132766831081,0,0,46,60,3.7376696182833684
0,0,1,3,1,1310.147689,1,3.3500479365769205,4.348748470548351,0,0,41,60,4.007333185232471
0,0,0,1,1,630.00063,1,2.947300145282057,4.288272942913324,0,0,38,60,5.703782474656202
0,0,0,2,1,1219.80971,1,3.049546889237951,4.370440992051996,0,1,40,60,3.912023005428147
1,0,0,2,1,780.141844,1,3.115340753184367,4.481167875673758,0,0,29,60,3.3141860046725258
1,0,0,3,1,1600.0,1,3.354665016744661,4.349422396295699,0,0,17,60,3.828641396489095
0,0,0,2,1,1180.412371,1,3.424681687307852,4.339230779308912,0,1,37,60,3.1311369105601936
1,1,0,2,1,1000.0,1,3.1978564576441255,4.462453883786496,0,2,42,60,3.6635616461296463
0,0,0,2,1,1000.0,1,3.3396836146732825,4.3419933915074775,0,1,5,60,2.525728644308256
0,0,0,3,1,1400.107701,1,3.3465556805951406,4.348566976728093,0,3,15,60,3.951243718581428
0,0,1,2,1,943.1266076,1,3.3500479365769205,4.348748470548351,0,0,41,60,3.49650756146648
1,0,0,2,1,1150.146382,1,3.2803962711963672,4.315796470180832,0,3,24,60,4.007333185232471
0,1,1,1,1,864.0674393999999,1,2.953868069455292,4.289956986171905,0,0,31,96,4.4067192472642525
0,0,1,2,1,857.7861968000003,0,2.9536542822665877,4.2898044321562825,0,0,34,54,5.48063892334199
1,0,0,3,1,1174.210077,1,2.553512746487226,4.384733293366175,0,0,9,60,4.007333185232471
0,1,1,2,1,1020.087884,1,2.923123945602361,4.300850472383287,0,0,46,60,4.174387269895637
1,0,0,4,1,1650.165017,1,3.1051274739138868,4.285987759435518,0,1,56,60,4.174387269895637
0,1,0,2,1,1000.0,1,2.8800539339701325,4.423146744753279,0,1,59,60,3.5553480614894135
1,0,0,3,1,1300.052002,1,2.556768911744928,4.350908885656021,0,0,4,60,4.31748811353631
0,0,1,2,1,1058.114928,1,2.919920419848972,4.30051390329475,0,0,46,60,4.174387269895637
0,1,0,1,1,400.0,1,2.9201355013796153,4.303305345209279,0,0,46,60,3.4011973816621555
0,0,1,3,1,1274.924779,1,3.126918111264053,4.427896025630252,0,0,38,60,5.521460917862246
0,0,0,2,1,1026.694045,1,2.945220673563751,4.288624882662239,0,0,31,60,5.393627546352364
1,0,0,2,1,1150.121065,1,3.013899741175548,4.289088639014612,0,2,42,60,3.6375861597263857
1,0,0,3,1,1200.0,1,3.3485321992980595,4.344316862474202,0,0,17,60,4.0943445622221
0,0,0,1,0,475.0103263,1,3.206409643916518,4.362064842211598,0,0,31,9,3.828641396489095
2,1,1,1,1,301.9171163000001,0,3.206409643916518,4.362064842211598,0,0,31,60,3.2695689391837184
0,1,1,2,1,1228.571429,1,2.552865253270813,4.3154229291769965,0,1,35,60,3.943521672487517
1,0,0,2,1,986.0164934,1,2.570868344109045,4.383918007400288,0,0,9,60,4.007333185232471
0,1,1,3,1,1972.565158,1,3.3475104177145285,4.3483548497032585,0,3,15,60,4.275276264727001
0,1,1,1,1,420.6166888,1,2.9469832660376123,4.288914549787888,0,0,31,60,4.867534450455582
0,1,1,1,1,406.024219,0,2.9572693172304727,4.292164520919905,0,0,34,60,3.6863763238958183
0,0,0,3,1,1862.562189,1,3.3475104177145285,4.3483548497032585,0,3,15,60,4.092676505121403
1,0,0,2,1,950.0146156,1,2.9901562564251356,4.322056860897659,0,2,42,60,4.174387269895637
0,0,0,2,1,1049.969344,1,2.5637978485757387,4.3508433248841785,0,0,4,60,4.226833745268181
0,0,0,3,1,1615.008157,1,3.1174937845714337,4.4815660065520735,0,0,29,60,4.59511985013459
0,0,0,3,1,1150.0069,1,2.945220673563751,4.288624882662239,0,0,31,60,5.521460917862246
1,0,0,2,1,1100.0,1,3.2941816450297443,4.327237671760757,0,3,24,60,3.3141860046725258
0,1,1,2,1,906.2661833,0,3.206409643916518,4.362064842211598,0,0,31,9,4.248495242049359
1,0,0,3,1,1454.333915,1,2.3767644911682972,4.3357208817973705,0,2,42,60,3.912023005428147
1,0,0,3,1,1591.994542,1,3.3501305177776346,4.349110390526718,0,0,41,80,4.248495242049359
0,0,1,2,1,573.8769151,1,3.34661404945176,4.348244748251822,0,3,15,60,3.095577608523707
0,0,1,3,1,1038.883942,1,2.9507349076232554,4.289225803818339,0,0,38,60,5.634789603169249
1,0,0,3,1,1538.141758,1,2.5736719738239393,4.3515459063390445,0,0,4,60,4.30406509320417
0,0,0,3,1,1602.084012,1,3.345271231802404,4.348634392933047,0,3,15,60,3.8958936234982624
1,0,0,2,1,1200.0,1,2.804370173924214,4.389705451948824,0,2,42,60,3.80666248977032
1,0,0,2,1,760.0709400000003,1,2.764220682653276,4.310799125385514,0,2,42,60,4.0943445622221
1,1,0,2,1,739.8273736000001,1,3.1463051320333655,4.349202132082888,0,1,6,60,3.4011973816621555
1,0,0,2,1,1260.02291,1,2.57196316464779,4.3146093070798415,0,1,35,60,3.49650756146648
1,0,0,2,1,1100.151745,1,3.0489732799185014,4.370864127556833,0,1,40,60,3.3672958299864737
0,0,1,3,1,2293.077091,1,2.9201355013796153,4.303305345209279,0,0,46,60,5.3471075307174685
0,0,0,2,1,1146.480331,1,2.955748313201657,4.288014276085156,0,0,31,60,4.484131857611035
0,0,0,2,1,759.8784195000003,1,3.11138112234172,4.480728182283995,0,0,29,60,3.4011973816621555
1,0,0,4,1,2260.251857,1,2.561142119118583,4.351505569605929,0,0,4,60,4.941642422609304
0,0,0,3,1,767.0182167,1,3.032168633221045,4.383333305607463,0,0,34,60,5.48063892334199
1,0,0,4,1,2500.0,1,3.355735123864461,4.349202132082888,0,0,17,60,5.075173815233828
0,1,1,4,1,2286.236854,1,3.044522437723423,4.343805421853683,0,1,32,60,4.605170185988092
1,0,1,2,1,1150.086256,1,3.352625748613059,4.348854743455388,0,0,41,60,4.0943445622221
0,0,1,2,1,1004.932182,1,2.9426539131995613,4.292488586519191,0,0,38,60,4.400603020246816
1,0,0,2,1,800.0,1,3.1166091849040196,4.481529377028798,0,0,29,60,3.5263605246161616
0,1,0,3,1,993.75,1,3.2848941380732195,4.4823215065957696,0,2,42,60,3.4594662897861315
0,0,0,2,1,1298.139334,1,3.1428575615773453,4.349992592426787,0,1,6,60,3.4011973816621555
0,0,1,2,1,996.797438,1,3.29216070980713,4.327780656455312,0,0,17,67,3.2148678034706624
1,0,0,2,1,985.0194952,1,2.563837970869419,4.352390413185545,0,0,4,60,3.871201010907892
0,0,0,3,1,1118.75,1,2.5585566599502783,4.3844346081772425,0,0,9,60,3.9834130015148186
0,0,1,2,1,889.8305085000003,1,3.3501305177776346,4.349110390526718,0,0,41,80,3.7376696182833684
0,1,1,3,1,2488.004265,1,3.4227673352057617,4.340324396081628,0,1,37,60,4.941642422609304
0,0,0,3,1,1200.082764,1,3.1444607224778927,4.4819225452877065,0,0,29,60,4.060443010546419
