POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Owner,0,0,2,BHK,1.9699476869854928,1,1,"Ksfc Layout,Bangalore",12.96991,4.351541138183826,4.007333185232471
Dealer,0,0,2,BHK,1.9672104578508383,1,1,"Vishweshwara Nagar,Mysore",12.274538,4.339179217974417,3.9318256327243257
Owner,0,0,2,BHK,1.9225795781393114,1,1,"Jigani,Bangalore",12.778033,4.351982173644197,3.7612001156935624
Owner,0,1,2,BHK,1.922071069887404,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,4.3482694691257455,4.135166556742356
Owner,0,0,3,BHK,1.9644372896360807,1,1,"South Chittoor,Kochi",10.03328,4.334444484936118,3.7376696182833684
Dealer,0,0,3,BHK,1.9892319982962445,1,1,"Sodala,Jaipur",26.916347,4.3280402434701015,4.197201947661808
Owner,0,1,3,BHK,1.956444153672738,1,1,"Kharar,Mohali",30.74,4.339249605317823,3.9512437185814275
Dealer,0,1,2,BHK,1.9383064558440293,1,1,"Bileshivale,Bangalore",13.054202,4.352520606789747,3.728100167267218
Owner,0,1,2,BHK,1.9138181523168545,1,1,"Chromepet,Chennai",12.95161,4.383787208953065,3.58351893845611
Dealer,0,0,2,BHK,1.9734134360540447,1,1,"Hebbal,Bangalore",13.04034,4.351455913239765,4.700480365792417
Owner,0,0,2,BHK,1.9216387470996927,1,1,"Garebhavipalya,Bangalore",12.96991,4.351541138183826,3.871201010907891
Owner,0,1,2,BHK,1.9491935134666631,1,1,"Sector-119 Noida,Noida",28.587711,4.349027128618898,4.127134385045092
Owner,0,0,1,BHK,1.868249313441276,1,1,"sanjay nagar,Raigad",13.0352,4.351273569584266,2.995732273553991
Dealer,1,1,3,BHK,1.979623552116533,0,1,"Sector-150 Noida,Noida",28.429614,4.350041921413191,4.264087336809195
Dealer,1,1,3,BHK,2.0282669849192843,0,1,"Konanakunte,Bangalore",12.8855,4.351100823501241,5.19295685089021
Owner,0,0,2,BHK,1.9463479758789402,1,1,"Nagpur Road,Wardha",21.15389,4.370498692546197,3.091042453358316
Dealer,0,1,3,BHK,2.0282669849192843,1,1,"Kogilu,Bangalore",13.092356,4.351740968830982,4.787491742782046
Owner,0,0,2,BHK,1.9141571046452286,1,1,"Poonamallee,Chennai",13.05,4.383400690227026,3.8066624897703196
Dealer,0,0,2,BHK,1.9244033753905996,1,1,"Undri,Pune",18.452663,4.303132766831081,3.7376696182833684
Dealer,0,1,3,BHK,1.9710061854210716,1,1,"Sector-134 Noida,Noida",28.5041,4.348748470548351,4.007333185232471
