POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Owner,0,0,2,BHK,1300.236407,1,1,"Ksfc Layout,Bangalore",12.96991,4.351541138183826,4.007333185232471
Dealer,0,0,2,BHK,1275.0,1,1,"Vishweshwara Nagar,Mysore",12.274538,4.339179217974417,3.9318256327243257
Owner,0,0,2,BHK,933.1597222,1,1,"Jigani,Bangalore",12.778033,4.351982173644197,3.7612001156935624
Owner,0,1,2,BHK,929.9211427,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,4.3482694691257455,4.135166556742356
Owner,0,0,3,BHK,1250.0,1,1,"South Chittoor,Kochi",10.03328,4.334444484936118,3.7376696182833684
Dealer,0,0,3,BHK,1495.053957,1,1,"Sodala,Jaipur",26.916347,4.3280402434701015,4.197201947661808
Owner,0,1,3,BHK,1181.012946,1,1,"Kharar,Mohali",30.74,4.339249605317823,3.9512437185814275
Dealer,0,1,2,BHK,1040.0,1,1,"Bileshivale,Bangalore",13.054202,4.352520606789747,3.728100167267218
Owner,0,1,2,BHK,879.1208791000001,1,1,"Chromepet,Chennai",12.95161,4.383787208953065,3.58351893845611
Owner,0,0,3,BHK,1350.308642,1,1,"Deshbandhu Para,Siliguri",26.724219,4.481038556840746,3.5553480614894135
Dealer,0,0,2,BHK,1333.010179,1,1,"Hebbal,Bangalore",13.04034,4.351455913239765,4.700480365792417
Owner,0,0,2,BHK,927.1779023,1,1,"Garebhavipalya,Bangalore",12.96991,4.351541138183826,3.871201010907891
Owner,0,1,2,BHK,1122.1719460000004,1,1,"Sector-119 Noida,Noida",28.587711,4.349027128618898,4.127134385045092
Owner,0,0,1,BHK,649.9837504,1,1,"sanjay nagar,Raigad",13.0352,4.351273569584266,2.995732273553991
Dealer,1,1,3,BHK,1394.117647,0,1,"Sector-150 Noida,Noida",28.429614,4.350041921413191,4.264087336809195
Owner,0,0,3,BHK,1800.08471,1,1,"Jharapada,Bhubaneswar",20.275267000000003,4.45274609641232,4.442651256490317
Dealer,1,1,3,BHK,2124.896706,0,1,"Konanakunte,Bangalore",12.8855,4.351100823501241,5.19295685089021
Owner,0,0,2,BHK,1100.0,1,1,"Nagpur Road,Wardha",21.15389,4.370498692546197,3.091042453358316
Dealer,0,1,3,BHK,2178.649237,1,1,"Kogilu,Bangalore",13.092356,4.351740968830982,4.787491742782046
Owner,0,0,2,BHK,881.1435285,1,1,"Poonamallee,Chennai",13.05,4.383400690227026,3.8066624897703196
Dealer,0,0,2,BHK,944.8818898,1,1,"Undri,Pune",18.452663,4.303132766831081,3.7376696182833684
Dealer,0,1,3,BHK,1310.147689,1,1,"Sector-134 Noida,Noida",28.5041,4.348748470548351,4.007333185232471
