POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Owner,0,0,2,BHK,7.170301378455103,1,1,"Ksfc Layout,Bangalore",12.96991,4.351541138183826,4.007333185232471
Dealer,0,0,2,BHK,7.150701457592526,1,1,"Vishweshwara Nagar,Mysore",12.274538,4.339179217974417,3.9318256327243257
Owner,0,0,2,BHK,6.83857637826425,1,1,"Jigani,Bangalore",12.778033,4.351982173644197,3.7612001156935624
Owner,0,1,2,BHK,6.83509978975649,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,4.3482694691257455,4.135166556742356
Owner,0,0,3,BHK,7.1308988302963465,1,1,"South Chittoor,Kochi",10.03328,4.334444484936118,3.7376696182833684
Dealer,0,0,3,BHK,7.309917576812295,1,1,"Sodala,Jaipur",26.916347,4.3280402434701015,4.197201947661808
Owner,0,1,3,BHK,7.074127778033979,1,1,"Kharar,Mohali",30.74,4.339249605317823,3.9512437185814275
Dealer,0,1,2,BHK,6.946975992135418,1,1,"Bileshivale,Bangalore",13.054202,4.352520606789747,3.728100167267218
Owner,0,1,2,BHK,6.778922407115418,1,1,"Chromepet,Chennai",12.95161,4.383787208953065,3.58351893845611
Dealer,0,0,2,BHK,7.195194956308593,1,1,"Hebbal,Bangalore",13.04034,4.351455913239765,4.700480365792417
Owner,0,0,2,BHK,6.8321454590193635,1,1,"Garebhavipalya,Bangalore",12.96991,4.351541138183826,3.871201010907891
Owner,0,1,2,BHK,7.023021323895496,1,1,"Sector-119 Noida,Noida",28.587711,4.349027128618898,4.127134385045092
Owner,0,0,1,BHK,6.476947363192577,1,1,"sanjay nagar,Raigad",13.0352,4.351273569584266,2.995732273553991
Dealer,1,1,3,BHK,7.2400169830248124,0,1,"Sector-150 Noida,Noida",28.429614,4.350041921413191,4.264087336809195
Dealer,1,1,3,BHK,7.661478471235887,0,1,"Konanakunte,Bangalore",12.8855,4.351100823501241,5.19295685089021
Owner,0,0,2,BHK,7.003065458786462,1,1,"Nagpur Road,Wardha",21.15389,4.370498692546197,3.091042453358316
Dealer,0,1,3,BHK,7.686460347686729,1,1,"Kogilu,Bangalore",13.092356,4.351740968830982,4.787491742782046
Owner,0,0,2,BHK,6.781220528103904,1,1,"Poonamallee,Chennai",13.05,4.383400690227026,3.8066624897703196
Dealer,0,0,2,BHK,6.851059935343925,1,1,"Undri,Pune",18.452663,4.303132766831081,3.7376696182833684
Dealer,0,1,3,BHK,7.177895149535212,1,1,"Sector-134 Noida,Noida",28.5041,4.348748470548351,4.007333185232471
Dealer,0,0,1,BHK,6.445720819385079,1,1,"Bandra (West),Mumbai",19.05444,4.288272942913324,5.703782474656201
Dealer,0,0,2,BHK,7.106450150152037,1,1,"Narendra Nagar,Nagpur",21.105779,4.3704409920519955,3.912023005428146
Owner,0,0,3,BHK,7.3777589082278725,1,1,"Sain Vihar,Ghaziabad",28.63601,4.349422396295699,3.828641396489095
