POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,RESALE,LONGITUDE,LATITUDE,IN_CITY,CITY_2,SQFT_P_ROOM,Lo+Li,Rare_House,City_Type,Area,l*l,BHK_CITY,BHK_IN_CITY,multi
1,0,0,2,1,1300.236407,1,2.562632059214069,4.351541138183826,4416,24,650.1182035,6.914173197397895,0,0,3,4.094951985996083,26,4418,2600.472814
0,0,0,2,1,1275.0,1,2.507527035497735,4.339179217974417,10074,194,637.5,6.846706253472152,0,2,3,3.9889945358258734,196,10076,2550.0
1,0,0,2,1,933.1597222,1,2.547727524740598,4.351982173644197,3567,24,466.57986110000013,6.899709698384795,0,0,1,4.0699815409341324,26,3569,1866.3194444
1,0,1,2,1,929.9211427,1,3.354884646130559,4.3482694691257455,7975,95,464.96057135000007,7.703154115256305,0,0,1,5.263220969482839,97,7977,1859.8422854
1,0,0,3,1,1250.0,1,2.3059075674579743,4.334444484936118,8945,161,416.66666666666674,6.6403520523940935,0,1,3,3.62131713468796,164,8948,3750.0
0,0,0,3,1,1495.053957,1,3.292733797203143,4.3280402434701015,8904,124,498.3513190000001,7.620774040673245,0,3,3,5.1578041602696425,127,8907,4485.161871
1,0,1,3,1,1181.012946,1,3.4255647381104497,4.339249605317823,4178,188,393.670982,7.764814343428272,0,1,2,5.342772002282559,191,4181,3543.0388380000004
0,0,1,2,1,1040.0,1,2.56911007427746,4.352520606789747,1331,24,520.0,6.921630681067207,0,0,1,4.106862447523516,26,1333,2080.0
1,0,1,2,1,879.1208791000001,1,2.561220104742243,4.3837872089530645,1866,59,439.56043955000007,6.945007313695308,0,0,1,4.122880626319821,61,1868,1758.2417582000003
1,0,0,3,1,1350.308642,1,3.285570232910659,4.481038556840746,2113,268,450.1028806666666,7.766608789751405,0,2,3,5.33037560755964,271,2116,4050.925926
0,0,0,2,1,1333.010179,1,2.5680476297782278,4.351455913239765,3097,24,666.5050894999998,6.919503543017992,0,0,3,4.104057947536564,26,3099,2666.020358
1,0,0,2,1,927.1779023,1,2.562632059214069,4.351541138183826,2597,24,463.58895115,6.914173197397895,0,0,1,4.094951985996083,26,2599,1854.3558046
1,0,1,2,1,1122.1719460000004,1,3.352976940169934,4.349027128618898,8028,207,561.0859730000002,7.702004068788832,0,0,2,5.261664339813691,209,8030,2244.343892000001
1,0,0,1,1,649.9837504,1,2.5676533905742405,4.351273569584266,10696,234,649.9837504,6.9189269601585055,0,2,0,4.103217924715426,235,10697,649.9837504
0,1,1,3,1,1394.117647,1,3.347431348363562,4.350041921413191,8084,207,464.70588233333336,7.697473269776752,0,0,3,5.255691460854415,210,8087,4182.352941
1,0,0,3,1,1800.08471,1,3.0094017688420176,4.45274609641232,3557,48,600.0282366666668,7.462147865254337,0,1,4,4.90577432232256,51,3560,5400.25413
0,1,1,3,1,2124.896706,1,2.556102648163238,4.351100823501241,4299,24,708.298902,6.907203471664479,0,0,4,4.083437179885189,27,4302,6374.690118
