POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),CITY,CITY_2,ZONE
Owner,0,0,2,BHK,7.170301378455102,1,1,"Ksfc Layout,Bangalore",0.9410348784396798,4.351541138183826,4.007333185232471,Bangalore,Bangalore,4
Dealer,0,0,2,BHK,7.150701457592526,1,1,"Vishweshwara Nagar,Mysore",0.9192970226493632,4.339179217974417,3.9318256327243257,Mysore,Mysore,4
Owner,0,0,2,BHK,6.83857637826425,1,1,"Jigani,Bangalore",0.9352017950767645,4.351982173644197,3.7612001156935615,Bangalore,Bangalore,4
Owner,0,1,2,BHK,6.83509978975649,1,1,"Sector-1 Vaishali,Ghaziabad",1.2104173871590926,4.3482694691257455,4.135166556742356,Ghaziabad,Ghaziabad,1
Owner,0,0,3,BHK,7.1308988302963465,1,1,"South Chittoor,Kochi",0.8354743375473942,4.334444484936118,3.737669618283368,Kochi,Kochi,2
Dealer,0,0,3,BHK,7.309917576812294,1,1,"Sodala,Jaipur",1.1917181611357337,4.3280402434701015,4.197201947661808,Jaipur,Jaipur,1
Owner,0,1,3,BHK,7.074127778033979,1,1,"Kharar,Mohali",1.2312663451613621,4.339249605317823,3.951243718581428,Mohali,Mohali,1
Dealer,0,1,2,BHK,6.9469759921354175,1,1,"Bileshivale,Bangalore",0.9435595643400252,4.352520606789747,3.7281001672672183,Bangalore,Bangalore,4
Owner,0,1,2,BHK,6.7789224071154175,1,1,"Chromepet,Chennai",0.9404837483670763,4.3837872089530645,3.58351893845611,Chennai,Chennai,4
Owner,0,0,3,BHK,7.208088469005762,1,1,"Deshbandhu Para,Siliguri",1.1895402237551154,4.481038556840746,3.555348061489413,Siliguri,Siliguri,3
Dealer,0,0,2,BHK,7.195194956308592,1,1,"Hebbal,Bangalore",0.9431459330771417,4.351455913239765,4.700480365792417,Bangalore,Bangalore,4
Owner,0,0,2,BHK,6.832145459019364,1,1,"Garebhavipalya,Bangalore",0.9410348784396798,4.351541138183826,3.8712010109078916,Bangalore,Bangalore,4
Owner,0,1,2,BHK,7.023021323895496,1,1,"Sector-119 Noida,Noida",1.2098485900879203,4.349027128618898,4.127134385045092,Noida,Noida,1
Owner,0,0,1,BHK,6.476947363192577,1,1,"sanjay nagar,Raigad",0.9429924042002856,4.351273569584266,2.9957322735539913,Raigad,Raigad,4
Dealer,1,1,3,BHK,7.2400169830248124,0,1,"Sector-150 Noida,Noida",1.208193290042365,4.350041921413191,4.264087336809195,Noida,Noida,1
Owner,0,0,3,BHK,7.4955890038880275,1,1,"Jharapada,Bhubaneswar",1.1017413111147871,4.45274609641232,4.442651256490317,Bhubaneswar,Bhubaneswar,3
Dealer,1,1,3,BHK,7.661478471235888,0,1,"Konanakunte,Bangalore",0.9384836953971873,4.351100823501241,5.1929568508902095,Bangalore,Bangalore,4
Owner,0,0,2,BHK,7.0030654587864625,1,1,"Nagpur Road,Wardha",1.1157393833581428,4.370498692546197,3.0910424533583165,Wardha,Wardha,5
Dealer,0,1,3,BHK,7.686460347686729,1,1,"Kogilu,Bangalore",0.9446949060212613,4.351740968830982,4.787491742782046,Bangalore,Bangalore,4
Owner,0,0,2,BHK,6.781220528103904,1,1,"Poonamallee,Chennai",0.943434244414973,4.383400690227027,3.80666248977032,Chennai,Chennai,4
Dealer,0,0,2,BHK,6.851059935343924,1,1,"Undri,Pune",1.0699414111040433,4.303132766831081,3.737669618283368,Pune,Pune,0
Dealer,0,1,3,BHK,7.177895149535212,1,1,"Sector-134 Noida,Noida",1.2089746551605427,4.348748470548351,4.007333185232471,Noida,Noida,1
Dealer,0,0,1,BHK,6.4457208193850795,1,1,"Bandra (West),Mumbai",1.0808895463068082,4.2882729429133235,5.703782474656202,Mumbai,Mumbai,0
Dealer,0,0,2,BHK,7.106450150152037,1,1,"Narendra Nagar,Nagpur",1.1149930186774661,4.370440992051996,3.912023005428147,Nagpur,Nagpur,5
Owner,0,0,2,BHK,6.659475754432749,1,1,"Kudgat,Kolkata",1.1363385373270725,4.481167875673758,3.3141860046725258,Kolkata,Kolkata,3
Owner,0,0,3,BHK,7.377758908227872,1,1,"Sain Vihar,Ghaziabad",1.2103519194609573,4.349422396295699,3.828641396489095,Ghaziabad,Ghaziabad,1
